,date,Country,Start Date,End Date,Geo Locations,Disaster Type,Total Damages,Total Deaths,Total Affected
144,2022-09-15,Puerto Rico,,,,,,,
145,2022-09-15,Martinique,,,,,,,
146,2022-09-15,Mauritania,,,,,,,
147,2022-09-15,Saint Kitts and Nevis,,,,,,,
148,2022-09-15,French Polynesia,,,,,,,
149,2022-09-15,Latvia,,,,,,,
150,2022-09-15,Mauritius,,,,,,,
151,2022-09-15,Réunion,,,,,,,
152,2022-09-15,Jordan,,,,,,,
153,2022-09-15,Kuwait,,,,,,,
154,2022-09-15,Lithuania,,,,,,,
155,2022-09-15,Marshall Islands (the),,,,,,,
156,2022-09-15,Palau,,,,,,,
157,2022-09-15,Qatar,,,,,,,
158,2022-09-15,Moldova (the Republic of),,,,,,,
159,2022-09-15,Libya,,,,,,,
160,2022-09-15,Maldives,,,,,,,
161,2022-09-15,Saint Vincent and the Grenadines,,,,,,,
162,2022-09-15,Singapore,,,,,,,
163,2022-09-15,Virgin Island (U.S.),,,,,,,
164,2022-09-15,Tunisia,,,,,,,
165,2022-09-15,Turks and Caicos Islands (the),,,,,,,
166,2022-09-15,Saint Barthélemy,,,,,,,
167,2022-09-15,Slovakia,,,,,,,
168,2022-09-15,Chad,2022-06-06,2022-10-31,"Batha Est, Batha Ouest, Ennedi, Logone Oriental, Mandoul, Ouaddai, Salamat, Sila, Tandjile Est, Tandjile Ouest (Adm1). ",Flood,,22.0,1100229.0
169,2022-09-15,Virgin Island (British),,,,,,,
170,2022-09-15,Zambia,,,,,,,
171,2022-09-15,Montenegro,,,,,,,
172,2022-09-15,Saint Martin (French Part),,,,,,,
173,2022-09-15,Sint Maarten (Dutch part),,,,,,,
174,2022-09-15,Trinidad and Tobago,,,,,,,
175,2022-09-15,Sweden,2022-05-30,2022-09-30,,Extreme temperature ,,40.0,
176,2022-09-15,Samoa,,,,,,,
177,2022-09-15,Congo (the),,,,,,,
178,2022-09-15,Bhutan,,,,,,,
179,2022-09-15,Cyprus,2022-05-30,2022-09-30,,Extreme temperature ,,101.0,
180,2022-09-15,Denmark,,,,,,,
181,2022-09-15,Gambia (the),2022-07-30,2022-10-31,"North Bank, West Coast (Adm1). Banjul (Adm2). ",Flood,,6.0,17201.0
182,2022-09-15,Luxembourg,,,,,,,
183,2022-09-15,Norway,2022-05-30,2022-09-30,,Extreme temperature ,,30.0,
184,2022-09-15,French Guiana,,,,,,,
185,2022-09-15,Isle of Man,,,,,,,
186,2022-09-15,Namibia,,,,,,,
187,2022-09-15,Lesotho,,,,,,,
188,2022-09-15,New Caledonia,,,,,,,
189,2022-09-15,Senegal,,,,,,,
190,2022-09-15,Uzbekistan,,,,,,,
191,2022-09-15,Slovenia,,,,,,,
192,2022-09-15,Togo,,,,,,,
193,2022-09-15,Sao Tome and Principe,,,,,,,
194,2022-09-15,Canary Is,,,,,,,
195,2022-09-15,Eswatini,,,,,,,
196,2022-09-15,Finland,,,,,,,
197,2022-09-15,Malta,,,,,,,
198,2022-09-15,Gabon,,,,,,,
199,2022-09-15,Equatorial Guinea,,,,,,,
200,2022-09-15,Guam,,,,,,,
201,2022-09-16,China,,,,,,,
202,2022-09-16,Dominica,,,,,,,
203,2022-09-16,Bangladesh,2022-05-17,2022-09-30,"Bogra, Gaibandha, Jamalpur, Kurigram, Lalmonirhat, Madaripur, Nilphamari, Shariatpur, Sirajganj (Adm2). ",Flood,462500.0,141.0,7200000.0
204,2022-09-16,Afghanistan,,,,,,,
205,2022-09-16,Chile,,,,,,,
206,2022-09-16,Egypt,,,,,,,
207,2022-09-16,Australia,,,,,,,
208,2022-09-16,Bahamas (the),,,,,,,
209,2022-09-16,Angola,,,,,,,
210,2022-09-16,Albania,,,,,,,
211,2022-09-16,Côte d’Ivoire,,,,,,,
212,2022-09-16,Colombia,2022-08-27,2022-10-18,"Caimito, Guaranda, Majagual (Adm2). ",Flood,,,167250.0
213,2022-09-16,Costa Rica,,,,,,,
214,2022-09-16,Ecuador,,,,,,,
215,2022-09-16,Georgia,,,,,,,
216,2022-09-16,Burkina Faso,,,,,,,
217,2022-09-16,Brazil,,,,,,,
218,2022-09-16,Cuba,,,,,,,
219,2022-09-16,Argentina,,,,,,,
220,2022-09-16,Central African Republic,2022-07-01,2022-10-31,"Bangui, Lobaye, Ouaka, Ouham-Pendé (Adm1). ",Flood,,16.0,118003.0
221,2022-09-16,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,
222,2022-09-16,Haiti,,,,,,,
223,2022-09-16,Burundi,,,,,,,
224,2022-09-16,Belgium,,,,,,,
225,2022-09-16,Bulgaria,,,,,,,
226,2022-09-16,Bosnia and Herzegovina,,,,,,,
227,2022-09-16,Belize,,,,,,,
228,2022-09-16,Bolivia (Plurinational State of),,,,,,,
229,2022-09-16,Canada,,,,,,,
230,2022-09-16,Cameroon,2022-06-26,2022-10-31,,Flood,15000.0,2.0,153095.0
231,2022-09-16,Cabo Verde,,,,,,,
232,2022-09-16,Dominican Republic (the),,,,,,,
233,2022-09-16,Algeria,,,,,,,
234,2022-09-16,Spain,,,,,,,
235,2022-09-16,France,,,,,,,
236,2022-09-16,Micronesia (Federated States of),,,,,,,
237,2022-09-16,Ghana,,,,,,,
238,2022-09-16,Guinea,,,,,,,
239,2022-09-16,Greece,,,,,,,
240,2022-09-16,Guatemala,,,,,,,
241,2022-09-16,Guyana,,,,,,,
242,2022-09-16,Croatia,,,,,,,
243,2022-09-16,Fiji,,,,,,,
244,2022-09-16,Ethiopia,2022-09-16,2023-07-27,,Epidemic,,31.0,11146.0
245,2022-09-16,Austria,,,,,,,
246,2022-09-16,Germany,,,,,,,
